id,bank,close_price,high_price,history,low_price,open_price,volume
33,"BIST Bankalar",14354.9,14364.1,"Sep 2, 2024",13791.8,13795.4,0
34,"BIST Bankalar",14215.6,14465.2,"Sep 3, 2024",14110.7,14359,0
35,"BIST Bankalar",14287.8,14297,"Sep 4, 2024",14054.2,14057.9,0
36,"BIST Bankalar",14154.1,14414.2,"Sep 5, 2024",14091.2,14401.7,0
37,"BIST Bankalar",13788.6,14254,"Sep 6, 2024",13726.9,14168.2,0
40,"BIST Bankalar",13482.6,13851.2,"Sep 9, 2024",13463.2,13822.1,0
41,"BIST Bankalar",13248.7,13574.2,"Sep 10, 2024",13116.8,13542.6,0
42,"BIST Bankalar",13058.7,13484.3,"Sep 11, 2024",13047.5,13205.8,0
43,"BIST Bankalar",13353.1,13382.2,"Sep 12, 2024",12834.8,13247.9,0
44,"BIST Bankalar",13357.1,13403.3,"Sep 13, 2024",13089.4,13352.2,0
47,"BIST Bankalar",13229.4,13401.3,"Sep 16, 2024",13158,13345.8,0
48,"BIST Bankalar",13483.6,13544.4,"Sep 17, 2024",13260.9,13280.3,0
49,"BIST Bankalar",13625.1,13713.7,"Sep 18, 2024",13459.9,13480.8,0
50,"BIST Bankalar",14044.6,14122.01,"Sep 19, 2024",13787.65,13814.36,0
63,"BIST Bankalar",15105.4,15313,"Aug 1, 2024",14814.8,14824.5,0
64,"BIST Bankalar",14508.5,14949.3,"Aug 2, 2024",14453.8,14854.5,0
67,"BIST Bankalar",13699,14009,"Aug 5, 2024",13241.7,13377.7,0
68,"BIST Bankalar",13456.4,14111.6,"Aug 6, 2024",13454.2,14079.9,0
69,"BIST Bankalar",13441.2,13749.9,"Aug 7, 2024",13309.5,13587.3,0
70,"BIST Bankalar",13402.4,13589.9,"Aug 8, 2024",13331.9,13453.2,0
71,"BIST Bankalar",12808.6,13607.6,"Aug 9, 2024",12807.4,13506,0
74,"BIST Bankalar",12947.8,13148.9,"Aug 12, 2024",12826.7,12919.8,0
75,"BIST Bankalar",13303.8,13303.8,"Aug 13, 2024",12831.2,12951.3,0
76,"BIST Bankalar",13193.4,13419.2,"Aug 14, 2024",13145.9,13380.1,0
77,"BIST Bankalar",13562.1,13589.6,"Aug 15, 2024",13194,13301.1,0
78,"BIST Bankalar",13261.2,13658.4,"Aug 16, 2024",13261.2,13629.5,0
81,"BIST Bankalar",13791.7,13821,"Aug 19, 2024",13225.6,13309.6,0
82,"BIST Bankalar",13816.3,13968.6,"Aug 20, 2024",13683.3,13732.9,0
83,"BIST Bankalar",13737.3,14067,"Aug 21, 2024",13705.2,13789.4,0
84,"BIST Bankalar",13932.1,14083.2,"Aug 22, 2024",13712.3,13839.8,0
85,"BIST Bankalar",13528.4,13985.4,"Aug 23, 2024",13420.3,13920.9,0
88,"BIST Bankalar",13628.6,13909.9,"Aug 26, 2024",13405.9,13654.3,0
89,"BIST Bankalar",13819.4,13842.4,"Aug 27, 2024",13505,13633.7,0
90,"BIST Bankalar",13686.5,13877.3,"Aug 28, 2024",13612.1,13832.1,0
91,"BIST Bankalar",13716.9,13902.2,"Aug 29, 2024",13469,13662.8,0
92,"BIST Bankalar",14636.9,15276.3,"Jul 1, 2024",14464.6,15249.4,0
93,"BIST Bankalar",14865.5,14865.5,"Jul 2, 2024",14530.6,14668.5,0
94,"BIST Bankalar",15527.9,15545,"Jul 3, 2024",14893.6,14948.7,0
95,"BIST Bankalar",15688.4,15840.2,"Jul 4, 2024",15340,15567.3,0
96,"BIST Bankalar",15553.8,15832.9,"Jul 5, 2024",15354.1,15707.1,0
99,"BIST Bankalar",15681.7,15841.4,"Jul 8, 2024",15536.2,15617.5,0
100,"BIST Bankalar",15184.9,15721.7,"Jul 9, 2024",15145.5,15713.9,0
101,"BIST Bankalar",15004.6,15215,"Jul 10, 2024",14821.4,15206.5,0
102,"BIST Bankalar",15691.4,15697.2,"Jul 11, 2024",15194.2,15196.6,0
103,"BIST Bankalar",15828.1,15979.5,"Jul 12, 2024",15579.3,15657.2,0
107,"BIST Bankalar",16158.4,16271.1,"Jul 16, 2024",15871.2,15918,0
108,"BIST Bankalar",16045.1,16165.1,"Jul 17, 2024",15829.2,16165.1,0
109,"BIST Bankalar",16023.5,16310,"Jul 18, 2024",15922.4,16164.1,0
110,"BIST Bankalar",16148.7,16282.4,"Jul 19, 2024",15923.7,15971.7,0
113,"BIST Bankalar",15920.9,16180.5,"Jul 22, 2024",15834.5,16044.5,0
114,"BIST Bankalar",15614.6,15929.8,"Jul 23, 2024",15360.7,15929.8,0
115,"BIST Bankalar",15371,15633,"Jul 24, 2024",15365.8,15591.6,0
116,"BIST Bankalar",15004,15436.1,"Jul 25, 2024",14948.1,15318.2,0
117,"BIST Bankalar",15066.7,15196.7,"Jul 26, 2024",14955.4,15040.7,0
120,"BIST Bankalar",14942.5,15214.9,"Jul 29, 2024",14877.1,14891.5,0
121,"BIST Bankalar",14552.8,15077.7,"Jul 30, 2024",14540.5,14965.8,0
122,"BIST Bankalar",14593.9,14719.2,"Jul 31, 2024",14456.3,14517.1,0
125,"BIST Bankalar",15309.9,15331.3,"Jun 3, 2024",14732.1,15100.1,0
126,"BIST Bankalar",14689.7,15444,"Jun 4, 2024",14684.4,15311,0
127,"BIST Bankalar",14645.9,14924.2,"Jun 5, 2024",14499.5,14790.6,0
128,"BIST Bankalar",14564.1,14865.1,"Jun 6, 2024",14506.4,14714.7,0
129,"BIST Bankalar",14156.4,14647.6,"Jun 7, 2024",14085.2,14619.7,0
132,"BIST Bankalar",14104.3,14294.2,"Jun 10, 2024",13909,14127.4,0
133,"BIST Bankalar",14549.1,14674.4,"Jun 11, 2024",14059.2,14073.4,0
134,"BIST Bankalar",14731.5,14872.7,"Jun 12, 2024",14467.2,14546.1,0
135,"BIST Bankalar",14793.9,15095.8,"Jun 13, 2024",14792.5,14928.3,0
136,"BIST Bankalar",14738,15193.1,"Jun 14, 2024",14684,15069.8,0
142,"BIST Bankalar",15271.8,15271.8,"Jun 20, 2024",14826,14964,0
143,"BIST Bankalar",15551.7,15669.5,"Jun 21, 2024",15235.7,15273.8,0
146,"BIST Bankalar",15706.7,15755.6,"Jun 24, 2024",15437.3,15563.6,0
147,"BIST Bankalar",15323.4,15839.9,"Jun 25, 2024",15323.4,15738.8,0
148,"BIST Bankalar",15128.6,15407.8,"Jun 26, 2024",15126.4,15328.5,0
149,"BIST Bankalar",15637.1,15680.7,"Jun 27, 2024",15202.2,15217.7,0
150,"BIST Bankalar",15129.6,15889.8,"Jun 28, 2024",15057.7,15746,0
152,"BIST Bankalar",13137.7,13530.7,"May 2, 2024",13122.2,13446.8,0
153,"BIST Bankalar",13397.8,13468.8,"May 3, 2024",13234.8,13324,0
156,"BIST Bankalar",13356.2,13541.3,"May 6, 2024",13253.6,13404.9,0
157,"BIST Bankalar",13661.1,13791.8,"May 7, 2024",13249.8,13380.5,0
158,"BIST Bankalar",13449.5,13772.2,"May 8, 2024",13362.5,13687.2,0
159,"BIST Bankalar",13533.6,13694.9,"May 9, 2024",13478.4,13547.4,0
160,"BIST Bankalar",13275.7,13733.8,"May 10, 2024",13275.7,13577.3,0
163,"BIST Bankalar",13028.1,13348.1,"May 13, 2024",13028.1,13331.6,0
164,"BIST Bankalar",13349.6,13434.5,"May 14, 2024",13096.6,13287.5,0
165,"BIST Bankalar",13356.5,13538.2,"May 15, 2024",13090.1,13323.4,0
166,"BIST Bankalar",13716.7,13716.7,"May 16, 2024",13326.1,13377.5,0
167,"BIST Bankalar",14377.7,14412.8,"May 17, 2024",13700.3,13753.5,0
170,"BIST Bankalar",14706.3,14835.4,"May 20, 2024",14327.4,14380.5,0
171,"BIST Bankalar",15595.8,16078.5,"May 21, 2024",14736.9,14736.9,0
172,"BIST Bankalar",15399.1,15869,"May 22, 2024",15172.2,15635.6,0
173,"BIST Bankalar",15141.5,15697.3,"May 23, 2024",15134.3,15394.7,0
174,"BIST Bankalar",15068.8,15321.3,"May 24, 2024",14993.3,15164.4,0
177,"BIST Bankalar",15172.2,15299.1,"May 27, 2024",14868.8,15112.9,0
178,"BIST Bankalar",15456.3,15509.6,"May 28, 2024",15128.6,15209.9,0
179,"BIST Bankalar",14964.9,15512.7,"May 29, 2024",14964.9,15482.5,0
180,"BIST Bankalar",15045.8,15254.8,"May 30, 2024",14897.3,15016.5,0
181,"BIST Bankalar",15062.4,15678.1,"May 31, 2024",14792.6,15076.2,0
182,"BIST Bankalar",11208,11352.8,"Apr 1, 2024",10815.2,11169,0
183,"BIST Bankalar",11384.2,11664.3,"Apr 2, 2024",11191.7,11230.2,0
184,"BIST Bankalar",11276.7,11372.9,"Apr 3, 2024",11070.5,11276,0
185,"BIST Bankalar",11924.8,11973.4,"Apr 4, 2024",11240.1,11323.6,0
186,"BIST Bankalar",12457.3,12589.9,"Apr 5, 2024",11968,12333.3,0
189,"BIST Bankalar",12562,12723.1,"Apr 8, 2024",12450.1,12498.7,0
190,"BIST Bankalar",12743.9,12961.3,"Apr 9, 2024",12580,12597.2,0
196,"BIST Bankalar",12816.6,13045.9,"Apr 15, 2024",12669,12686.5,0
197,"BIST Bankalar",12234.1,12890.5,"Apr 16, 2024",12234.1,12810.2,0
198,"BIST Bankalar",12372.1,12692.7,"Apr 17, 2024",12360.8,12366.7,0
199,"BIST Bankalar",12611.3,12728.3,"Apr 18, 2024",12445.8,12464.3,0
200,"BIST Bankalar",13251.7,13251.7,"Apr 19, 2024",12411.5,12529.6,0
203,"BIST Bankalar",12816.9,13442.5,"Apr 22, 2024",12809.5,13393.9,0
