id,bank,close_price,high_price,history,low_price,open_price,volume
102,"Garanti BBVA",115.4,116.2,"Sep 2, 2024",112.4,112.6,38248910
103,"Garanti BBVA",113.7,116.1,"Sep 3, 2024",113.5,115.4,24545695
104,"Garanti BBVA",114.1,114.4,"Sep 4, 2024",111.7,111.9,26146097
105,"Garanti BBVA",113.5,115.3,"Sep 5, 2024",112.2,114.8,21147590
106,"Garanti BBVA",112.1,114.5,"Sep 6, 2024",112,113.6,18338807
107,"Garanti BBVA",0,0,"Sep 7, 2024",0,0,0
108,"Garanti BBVA",0,0,"Sep 8, 2024",0,0,0
109,"Garanti BBVA",108,111.1,"Sep 9, 2024",107.6,110.7,15466863
110,"Garanti BBVA",106.6,108.9,"Sep 10, 2024",104.5,108.2,18310553
111,"Garanti BBVA",106.2,108.8,"Sep 11, 2024",104.9,106.6,19480406
112,"Garanti BBVA",109.7,109.8,"Sep 12, 2024",104.5,107.4,24794121
113,"Garanti BBVA",111,112.7,"Sep 13, 2024",107.7,109.5,22791953
114,"Garanti BBVA",0,0,"Sep 14, 2024",0,0,0
115,"Garanti BBVA",0,0,"Sep 15, 2024",0,0,0
116,"Garanti BBVA",111.6,113.3,"Sep 16, 2024",110.2,110.7,19562271
117,"Garanti BBVA",113,114,"Sep 17, 2024",111.7,112.1,16038598
118,"Garanti BBVA",114.2,115.4,"Sep 18, 2024",112.5,112.8,16303380
119,"Garanti BBVA",115.5,116.6,"Sep 19, 2024",114.8,116.1,8188632
120,"Garanti BBVA",128.6,131.2,"Aug 1, 2024",125.9,126.9,27123147
121,"Garanti BBVA",124.2,127.8,"Aug 2, 2024",123.4,126.9,20542978
122,"Garanti BBVA",0,0,"Aug 3, 2024",0,0,0
123,"Garanti BBVA",0,0,"Aug 4, 2024",0,0,0
124,"Garanti BBVA",119.9,121.5,"Aug 5, 2024",114,114,25176221
125,"Garanti BBVA",117.3,124.5,"Aug 6, 2024",117.3,123.5,21696241
126,"Garanti BBVA",116,119.6,"Aug 7, 2024",114.7,118.4,21518186
127,"Garanti BBVA",114.1,116.6,"Aug 8, 2024",113.2,115.7,16215076
128,"Garanti BBVA",110.6,116.1,"Aug 9, 2024",110,114.8,18500270
129,"Garanti BBVA",0,0,"Aug 10, 2024",0,0,0
130,"Garanti BBVA",0,0,"Aug 11, 2024",0,0,0
131,"Garanti BBVA",112.8,114.2,"Aug 12, 2024",110.3,111.4,16003383
132,"Garanti BBVA",116.2,116.4,"Aug 13, 2024",109.9,112.4,21882995
133,"Garanti BBVA",113,117.9,"Aug 14, 2024",112.8,117,20553425
134,"Garanti BBVA",114,114.7,"Aug 15, 2024",111.7,113.5,22471648
135,"Garanti BBVA",109,114.5,"Aug 16, 2024",109,114.3,24182456
136,"Garanti BBVA",0,0,"Aug 17, 2024",0,0,0
137,"Garanti BBVA",0,0,"Aug 18, 2024",0,0,0
138,"Garanti BBVA",111.7,111.9,"Aug 19, 2024",108.4,109.7,22851257
139,"Garanti BBVA",112,113.5,"Aug 20, 2024",110.7,111.1,22826510
140,"Garanti BBVA",112.4,113.8,"Aug 21, 2024",111.6,112,16190415
141,"Garanti BBVA",114,115.1,"Aug 22, 2024",112.1,113.1,20486407
142,"Garanti BBVA",109,114,"Aug 23, 2024",108.3,114,17537919
143,"Garanti BBVA",0,0,"Aug 24, 2024",0,0,0
144,"Garanti BBVA",0,0,"Aug 25, 2024",0,0,0
145,"Garanti BBVA",108.8,110.8,"Aug 26, 2024",107.2,109.9,22279723
146,"Garanti BBVA",112,112,"Aug 27, 2024",108,109,16851863
147,"Garanti BBVA",110.8,112.8,"Aug 28, 2024",107.5,112.5,17848878
179,"Garanti BBVA",110.7,113.5,"Jul 1, 2024",107.7,112.7,19521161
180,"Garanti BBVA",113,113.4,"Jul 2, 2024",110.3,110.9,20298380
181,"Garanti BBVA",118.8,118.9,"Jul 3, 2024",113,113.6,26580992
182,"Garanti BBVA",119,121,"Jul 4, 2024",117.4,121,22935842
183,"Garanti BBVA",122.4,123.5,"Jul 5, 2024",119.9,120.8,28390412
184,"Garanti BBVA",0,0,"Jul 6, 2024",0,0,0
185,"Garanti BBVA",0,0,"Jul 7, 2024",0,0,0
186,"Garanti BBVA",123.8,125.5,"Jul 8, 2024",122.5,123.1,19936773
187,"Garanti BBVA",122.7,125.7,"Jul 9, 2024",121.8,124.2,17512242
188,"Garanti BBVA",123.3,124.7,"Jul 10, 2024",119.7,123,22768112
189,"Garanti BBVA",132.4,132.4,"Jul 11, 2024",125,125.5,29619674
190,"Garanti BBVA",132.5,136.8,"Jul 12, 2024",129.9,132.5,30617785
191,"Garanti BBVA",0,0,"Jul 13, 2024",0,0,0
192,"Garanti BBVA",0,0,"Jul 14, 2024",0,0,0
193,"Garanti BBVA",0,0,"Jul 15, 2024",0,0,0
194,"Garanti BBVA",132.9,138.3,"Jul 16, 2024",132,133.5,33738090
195,"Garanti BBVA",132.5,133.5,"Jul 17, 2024",130.2,133.2,20443752
196,"Garanti BBVA",130,134.9,"Jul 18, 2024",128.9,133.3,24035686
197,"Garanti BBVA",131.2,131.8,"Jul 19, 2024",129,129.9,19622234
198,"Garanti BBVA",0,0,"Jul 20, 2024",0,0,0
199,"Garanti BBVA",0,0,"Jul 21, 2024",0,0,0
200,"Garanti BBVA",128.9,132.8,"Jul 22, 2024",128.7,131.6,19517005
201,"Garanti BBVA",125.5,129.3,"Jul 23, 2024",124.7,129,22728202
202,"Garanti BBVA",126.8,128.2,"Jul 24, 2024",122.7,125,18497381
203,"Garanti BBVA",124.8,127.2,"Jul 25, 2024",122.6,125.5,16138139
204,"Garanti BBVA",124.8,126.7,"Jul 26, 2024",123.1,125,20303287
205,"Garanti BBVA",0,0,"Jul 27, 2024",0,0,0
206,"Garanti BBVA",0,0,"Jul 28, 2024",0,0,0
